"adal_nr","adalvatnsfall","ar","vatnsfall","landsvaedi","landsvaedi_id","vatnsfall_id","mp","p_endur","stofn","logN","n_0","n_1","fjoldi_0","fjoldi_1","stofn_tmp_0","stofn_tmp_1","last10","M10","hraMedal10","logMedal10","expMedal10","M","hraMedal","logMedal","expMedal","N_ar"
3,"Affall",2023,"Affall Affallið","Hafbeitarár",8,NA,0.7,0.25,522.8571428571429,6.259308277340098,324,56,324,42,462.8571428571429,60.00000000000001,TRUE,2465.714285714286,808.3730158730159,6.045773416962585,422.32426395311705,2465.714285714286,833.8035714285714,5.926670754956101,374.9042855867112,16
69,"Álftá",2023,"Álftá Allt svæðið","Vesturland",2,NA,0.2391737484581315,0.25,409.74396492830556,6.015532488847517,92,8,92,6,384.6575997286134,25.086365199692175,TRUE,720.948535111019,497.29034142939093,6.15940219802018,473.1451431713762,1308,586.1080682858782,6.306804091387415,548.2898614660511,50
92,"Bakkaá",2023,"Bakkaá Allt svæðið","Norðurland eystra",5,NA,0.5,0.25,17.5,2.8622008809294686,2,9,2,6.75,4,13.5,TRUE,17.5,17.5,2.8622008809294686,17.500000000000004,70,37.95,3.5475768214643093,34.72906072972166,10
110,"Baugsstaðaá",2023,"Hróarsholtslækur Baugstaðaós Hróarsholtslækur Voli","Suðurland",7,NA,0.2391737484581315,0.25,44.94640431611515,3.8054707647506163,10,1,10,0.75,41.81060866615363,3.135795649961522,TRUE,121.70760733409935,57.801741466208064,3.947482839039428,51.804801552816706,121.70760733409935,49.13081336221914,3.6936993888835543,40.19326277361293,46
140,"Bjargaós",2023,"Víðidalsá Laxasvæði Víðidalsá Silungasvæði","Norðurland vestra",4,NA,0.27282241646081595,0.25,1853.7699598179397,7.524976660659416,88,557,88,417.75,322.5541403143425,1531.2158195035972,TRUE,3092.358939802336,1810.5153075558455,7.459205220005369,1735.767955336544,4162,2110.8704709297645,7.566409406610516,1932.190102383226,49
152,"Bjarnarfjarðará",2023,"Bjarnarfjarðará Goðdalsá","Vestfirðir",3,NA,0.27282241646081595,0.25,7.330775916235056,1.9920813651715064,2,NA,2,NA,7.330775916235056,NA,TRUE,7.330775916235056,4.980454470552461,1.4795578949402466,4.391003966658477,12,5.830075745092077,1.6035356274774857,4.970575496540645,12
158,"Blanda",2023,"Blanda Allt svæðið Svartá Allt svæðið","Norðurland vestra",4,NA,0.27282241646081595,0.25,1379.10221924172,7.229188000674647,38,451,38,338.25,139.28474240846606,1239.8174768332537,TRUE,12166.04492362983,4022.7261718435584,8.027070828273768,3062.7571793991215,12166.04492362983,2948.5752343687113,7.809663705710555,2464.3015653773737,50
208,"Botnsá",2023,"Botnsá Litli-Botn Botnsá Stóri-Botn","Reykjanes",1,NA,0.2391737484581315,0.25,111.84337818196096,4.71709948351896,14,17,14,12.75,58.53485213261508,53.30852604934587,TRUE,256.77441179774166,164.72625298405995,4.873991983354446,130.84219560315077,484,213.4605120418318,5.206060027377539,182.37409187225677,44
257,"Brynjudalsá",2023,"Brynjudalsá Hvalfirði Brynjudalsá","Reykjanes",1,NA,0.2391737484581315,0.25,194.41933029761435,5.270017322770255,15,42,15,31.5,62.71591299923044,131.70341729838393,TRUE,214.90437459944104,160.4779620350628,4.99112351818695,147.10160201297646,1194,297.5609056155558,5.455454828209629,234.0312908993022,46
277,"Búðardalsá",2023,"Búðardalsá á Skarðsströnd Búðardalsá - Allt svæðið","Vesturland",2,NA,0.2391737484581315,0.25,212.18883898072966,5.3574766280988415,44,9,44,6.75,183.96667813107595,28.222160849653697,TRUE,751.0971979042095,475.48872765428985,6.105402527426639,448.2730473399648,1329,407.7221819135725,5.665082829723774,288.61188576936985,40
