ar,fjoldi,vatnsfall,afli,sleppt
2014,2540,Blanda,695,313
2015,5204,Blanda,"2,415",490
2016,2108,Blanda,757,708
2017,1819,Blanda,671,258
2018,1232,Blanda,380,108
2019,388,Blanda,122,60
2020,1134,Blanda,107,363
2021,1207,Blanda,112,189
2022,1620,Blanda,65,416
2023,935,Blanda,21,231
1994,318,Vesturdalsá,,
1995,334,Vesturdalsá,,
1996,265,Vesturdalsá,,
1997,330,Vesturdalsá,,
1998,222,Vesturdalsá,,
1999,105,Vesturdalsá,,
2000,154,Vesturdalsá,,
2001,158,Vesturdalsá,,
2002,346,Vesturdalsá,,
2003,213,Vesturdalsá,,
2004,318,Vesturdalsá,,
2005,,Vesturdalsá,,
2006,254,Vesturdalsá,,
2007,414,Vesturdalsá,,
2008,272,Vesturdalsá,,
2009,206,Vesturdalsá,,
2010,204,Vesturdalsá,,
2011,217,Vesturdalsá,,
2012,214,Vesturdalsá,,
2013,189,Vesturdalsá,,
2014,,Vesturdalsá,,
2015,168,Vesturdalsá,,
2016,,Vesturdalsá,,
2017,,Vesturdalsá,,
2018,415,Vesturdalsá,,
2019,,Vesturdalsá,,
2020,140,Vesturdalsá,,
2021,110,Vesturdalsá,,
2022,62,Vesturdalsá,,
2023,115,Vesturdalsá,,
2014,807,Selá,127,441
2015,896,Selá,88,330
2016,901,Selá,86,390
2017,812,Selá,68,384
2018,"1,481",Selá,172,492
2019,"1,384",Selá,20,761
2020,"1,183",Selá,13,678
2021,605,Selá,9,535
2022,675,Selá,6,591
2019,206,Laugardalsá,54,17
2020,216,Laugardalsá,85,27
2021,211,Laugardalsá,72,37
2022,211,Laugardalsá,74,17
2023,197,Laugardalsá,68,9
