"adal_nr","adalvatnsfall","vatnsfall","landsvaedi","landsvaedi_id","vatnsfall_id","M","hraMedal","logMedal","expMedal","M10","hraMedal10","logMedal10","expMedal10","N_ar","nafn","V","N","fjarlægð","Meðalfjöldi","fjoldi.flokk","ATH"
955,"Héraðsvötn","Héraðsvötn Hofsá Vesturdal Húseyjarkvísl Miklavatn Norðurá Skagafirði Sæmundará Húseyjarkvísl Allt svæðið Sæmundará Allt svæðið","Norðurland vestra",4,"532 1200 1619 1859 1870 2219",1491.2854251012145,533.6756148649497,6.038096136049335,419.09437618441603,1491.2854251012145,1092.3780743247494,6.97053934299388,1064.7968864366912,50,"Héraðsvötn",-19.4556927601712,65.5908949667528,559,629,10,
956,"Hítará","Hítará Hítará Allt svæðið","Vesturland",2,"526",2623.2295818903467,1043.6635495388339,6.79506841035156,893.4303773971611,2623.2295818903467,1673.4177476941704,7.360501573175029,1572.6251517641927,50,"Hítará",-22.3323857862058,64.6970082068203,-480,1415,15,
990,"Hoffellsá","Laxá í Nesjum Laxá í Nesjum ",,,"",512.5,124.97399819741842,4.291896331975195,73.10496842638089,13.531967553531507,13.531967553531507,2.6050548531570525,13.531967553531507,18,,-15.2419,64.27569,,,,"Hoffellsá"
996,"Hofsá","Hofsá í Vopnafirði Sunnudalsá Hofsá Laxasvæði Hofsá Silungasvæði Sunnudalsá Allt svæðið","Austfirðir",6,"601 623",4742,1792.3168767873328,7.273047480907527,1440.9349906188984,1759,1125.1343839366648,6.979668739332473,1074.5623477908189,50,"Hofsá og Sunnudalsá",-14.8116129445708,65.7178198136908,1005,2517,15,
1040,"Hólsá","Austurbakki Hólsár Aðalsvæði Austurbakki Hólsár Neðra Svæði Eystri-Rangá Eystri Rangá Ytri Rangá og Hólsá - Vesturbakki Laxasvæði Þverá Fljóshlíð Þverá Fljótshlíð Eystri Rangá Fiská Hólsá Hólsá - Austurbakki Hróarslækur Ytri Rangá Þverá í Fljótshlið","Hafbeitarár",8,"281 301 302 760 1041 1877 1911",43709.12354962445,15906.873925660206,9.141813395130656,9337.68269641377,43709.12354962445,26457.10873981072,10.144144817693615,25441.69945485568,35,"Rangárnar",-20.5567,63.68826,,18289,20,
1064,"Hraunaós","Fljótaá Allt svæðið Fljótaá Gil og Gilslaug Fljótum","Norðurland vestra",4,"530 1958",1068.9586653645003,330.427479065305,5.613656290285248,274.14476061457407,1068.9586653645003,364.68739532652523,5.743290105045709,312.08953102108507,50,"Fljótaá",-19.0310680051817,66.0482189628868,610,338,10,
1106,"Hrútafjarðará","Hrútafjarðará Allt svæðið Hrútafjarðará og Síká","Norðurland vestra",4,"960",1769.7340521114106,709.4479559828762,6.463243727398435,641.1373620920424,1769.7340521114106,973.6553931195185,6.838963629114474,933.5211590746686,47,"Hrútafjarðará og Síká",-21.0709396624489,65.1497443440009,390,797,10,
1189,"Hvítá","Andakílsá Flókadalsá Borgarfirði Gljúfurá Borgarfirði Grímsá Borgarfirði Gufuá Borgarfirði Hvítá Borgarfirði Kjarrá Litla-Þverá Norðurá Borg Reykjadalsá Seleyri Tunguá Lundarreykjadal Þverá  Þverá Borgarfirði eystri Andakílsá Lax Flókadalsá Flókadalsá Gljúfurá Borgarfirði Gljúfurá Grímsá Allt svæðið Gufuá Borgarfirði Gufuá Hvítá Brennan Hvítá Hvítá - Straumar Hvítá Svarthöfði Kjarrá Allt svæðið Litla Þverá Borgarfirði Litla Þverá Norðurá Allt svæðið Reykjadalsá Reykjadalsá Reykjadalsá svæði 1 Þverá Allt svæðið","Vesturland",2,"141 142 384 386 388 421 524 781 901 980 1280 1299 1300 1939",23442,13370.993396472593,9.457085509960379,12798.528853222568,21131.107803196905,15480.116982362957,9.61741401286104,15024.14740739199,50,"Hvítá í Borgarfirði",-21.76392488,64.58356948,-520,15108,20,
1216,"Hölkná","Hölkná Hölkná Allt svæðið","Norðurland eystra",5,"581",384,176.03646193975206,5.015867771136997,150.78692855347538,240.5,151.87866350478504,4.908020592730574,135.3711943115442,49,"Hölkná",-15.5084639708459,66.1961967683568,860,236,5,
1221,"Hörðudalsá","Hörðudalsá Hörðudalsá Hörðudalsá","Vesturland",2,"492",377.14969857449495,123.13964109039638,4.494540954997798,89.52706260037847,377.14969857449495,205.76667203446658,5.235845612818887,187.88791962080955,37,"Hörðudalsá",-21.7907629705151,65.0234777620693,-280,70,5,
1268,"Ísafjarðará","Ísafjarðará Ísafjarðará Ísafjarðará","Vestfirðir",3,"424",188,52.416121322168195,3.60496091231294,36.78024617439406,162.20758268351705,70.48665210665412,4.149420178214123,63.397230543767584,43,"Ísafjarðará",-22.5828943609327,65.7813176916911,154,73,5,
1290,"Jökulsá á Dal","Jökulsá á Dal Allt svæðið Jökulsá á Dal Jökla I Jökulsá á Dal Jökulsá á Dal II Kaldá Laxá Jökulsárhlíð Vatnasvæði Jöklu","Austfirðir",6,"1019 1040 1860 1861 1874",1386,664.7995174942869,6.137819258389708,463.04269256069716,1386,828.3391314897162,6.666161451139386,785.3751102794397,18,,-14.26617,65.66302,,,,"Jökulsá á Dal"
