"adal_nr","adalvatnsfall","vatnsfall","landsvaedi","landsvaedi_id","vatnsfall_id","M","hraMedal","logMedal","expMedal","M10","hraMedal10","logMedal10","expMedal10","N_ar","nafn","V","N","fjarlægð","Meðalfjöldi","fjoldi.flokk","ATH"
2959,"Ölfusá","Apavatn Ásgarðslækur Brúará Biskupstungum Búrfellslækur Djúpá Laugarvatni Grafará Laugardal Hagaós Hólaá Hvítá  Árnessýslu Litla-Laxá Sog Stóra-Laxá Tungufljót Biskupstungum Varmá Varmá Hveragerði Ölfusá Brúará Brúará og Hagaós land Haga I og II Brúará Miklaholt Hvítá - Árnessýslu Haukholt I og II Hvítá - Árnessýslu Iða 2 Hvítá - Langholt Svæði 1 Hvítá Arnarbæli NET Hvítá Austurkot NET Hvítá Fjall Hvítá Gíslastaðir Hvítá Hallandi Hvítá Hamrar Hvítá Höfði Hvítá Iða 1 Hvítá Litlu Reykir NET Hvítá Oddgeirshólar Hvítá Oddgeirshólar NET Hvítá Skálholt Hvítá Snæfoksstaðir Hvítá Stóra-Ármót Hvítá Stóru Reykir Sog Ásgarður (Ásgarðsland) Sog Bíldsfell Sog Syðri Brú Sog Þrastalundur Þrastalundur Stóra-Laxá Allt Svæðið Tungufljót Allt svæðið Ölfusá 4. Hellir - Fossnes Ölfusá Auðsholtshjáleiga Auðsholt Ölfusá Auðsholtshjáleiga Auðsholt - net Ölfusá Árbær Ölfusá Hellir - Fossnes Ölfusá Hraun I Ölfusá Kaldaðarnes Ölfusá Kaldaðarnes net Ölfusá Kirkjuferja Ölfusá Laugarbakkar Ölfusá Laugardælir Ölfusá Selfoss I og II NET Ölfusá Selfoss I og II stöng Ölfusá Tannastaðir","Suðurland",7,"341 401 427 481 529 579 783 785 1140 1866 1912 1913 1938 1941 1942 1952",13479.069862185885,4951.533495593801,8.32272103338446,4116.3454968477,13479.069862185885,9347.167477969006,9.074291339433644,8727.998358444353,50,"Ölfusá",-21.2081102556562,63.9007233616175,-722,7683,15,
225,"Breiðdalsá","Breiðdalsá","Austfirðir",6,"859",2510.5,540.5301479491177,5.757260313474135,316.48008387980315,651.5,299.8274557286271,5.43355960826196,228.9628144975249,48,"Breiðdalsá",-14.0881297952453,64.7853632682553,1190,1250,15,
465,"Fáskrúð","Fáskrúð","Vesturland",2,"523",979,471.07630902901775,6.073714416409045,434.29082632077785,765.2408189640614,498.1262769168522,6.127750783767786,458.4039506765742,46,"Fáskrúð",-21.7032759316159,65.1751612099506,-265,513,10,
701,"Glerá","Glerá Glerá Hvammsfirði","Vesturland",2,"486 1885",170,87.18113027531777,4.290708330440818,73.01817117955939,121.10124242453273,70.22452110127112,4.112787777438103,61.1168605039143,32,,-21.74432,65.20423,,,,"Glerá"
1102,"Hrófá","Hrófá","Vestfirðir",3,"719",191.7017070979335,100.64005690326445,4.465956255195733,87.00418797987663,191.7017070979335,191.7017070979335,5.255940555061159,191.70170709793348,30,"Hrófá",-21.6641056414333,65.6601013913026,331,107,5,
1147,"Hvalsá","Hvalsá Hvalsá Kollafirði","Vestfirðir",3,"1699 1803",127.18314178483288,62.5597486264818,3.9588575710216753,52.39743139895849,127.18314178483288,71.47209151803293,4.108608583537036,60.86197427371294,13,,-21.18814,65.37508,,,,"Hvalsá"
1199,"Hvolsá","Staðarhólsá og Hvolsá","Vesturland",2,"490",1536,373.86758454603745,5.619385820751718,275.7199897250924,853.3212157451883,492.9751637404177,6.117914881534927,453.9172358509492,47,"Hvolsá og Staðarhólsá",-21.9376426728931,65.3887973167204,-200,279,5,
1360,"Kerlingardalsá","Heiðarvatn Kerlingardals- og Vatnsá","Suðurland",7,"819 1766",1732.5,344.3040665808955,5.318090711426669,203.99402647428047,603.2424701541256,373.31931625925375,5.846540288305366,346.035125366499,38,"Kerlingardalsá og Vatnsá",-18.9051908108354,63.411633883786,-850,542,10,
1461,"Krossá","Krossá í Bitrufirði","Vestfirðir",3,"422",360,155.5453714554742,4.833362027988783,125.63263184697686,198.763557483731,84.62454300510814,3.9553142926333344,52.21210124474194,44,"Krossá í Bitru",-21.38365319,65.4784584,322,155,5,
1516,"Lagarfljót","Kelduá Lagarfljót","Austfirðir",6,"1739 1779",388,77.11111111111111,3.0884610639978076,21.94328267031951,388,185.33333333333334,4.92521096497799,137.7183923360194,9,,-14.26648,65.66588,,,,"Lagarfljót"
1584,"Laxá","Laxá í Hrútafirði","Vestfirðir",3,"484",330,97.51097916931047,4.199164626954599,66.63064633946448,290.13654219665,124.05733566195477,4.610686944027373,100.55320033709557,47,"Laxá í Hrútafirði",-21.1508454275531,65.261767611387,380,47,5,
2281,"Staðará","Staðar- og Vatnadalsá ","Vestfirðir",3,"784",185.25813390696425,103.10830484385204,4.432898260246166,84.17502484838181,185.25813390696425,185.25813390696425,5.221750170942181,185.25813390696422,7,,-23.56913,66.12337,,,,"Staðará"
2452,"Svínafossá","Svínafossá","Vesturland",2,"482",426.02880681507975,147.32146369027376,4.5422745974707865,93.90415152876334,426.02880681507975,182.861708109537,5.051284962299708,156.2230763328944,23,,-22.21443,65.03016,,,,"Svínafossá"
2670,"Vesturdalsá","Vesturdalsá","Austfirðir",6,"561",902,350.2292671247463,5.6077080604755984,272.5189247935732,431.5,171.8593432347297,4.7089072912505205,110.93087851360839,49,"Vesturdalsá",-14.9041958053037,65.7520259848827,1004,353,10,
2711,"Víkurá","Víkurá","Vestfirðir",3,"361",473.40970350404314,178.75980256729505,5.036857946378006,153.98542366039413,473.40970350404314,233.74563562920753,5.312600556981205,202.87713651758594,47,"Víkurá",-21.2667282554976,65.4569882820551,330,194,5,
423,,,,,,,,,,,,,,,"Eyjafjarðará",-18.0612290081214,65.643699140804,691,13,5,
,,,,,,,,,,,,,,,"Geirlandsá í V-Skaft.",-18.048349853845,63.8147297848273,-1000,92,5,"Kúðafljót"
1096,,,,,,,,,,,,,,,"Hrolleifsdalsá",-19.4107351845637,66.0195309302862,594,19,5,
,,,,,,,,,,,,,,,"Tungufljót",-18.4929745266561,63.6818619194264,-890,64,5,"Kúðafljót"
