"adal_nr","nafn","V","N","fjarlægð","logMedal10","expMedal10","fjoldi.flokk","ath"
1290,"Jökulsá á Dal",-14.26617,65.66302,,6.666161451139386,785.3751102794397,,"ny"
1360,"Kerlingardalsá og Vatnsá",-18.9051908108354,63.411633883786,-850,5.713146176423589,302.8223035130683,10,""
1462,"Krossá á Skarðsströnd",-22.3628878519189,65.2708294017863,-225,5.021724451209565,151.67263045780325,10,""
1461,"Krossá í Bitru",-21.38365319,65.4784584,322,3.9553142926333344,52.21210124474194,5,""
1485,"Kúðafljót",-18.17564,63.45938,,5.538578743730197,254.3162938541085,,"ny"
1516,"Lagarfljót",-14.26648,65.66588,,4.92521096497799,137.7183923360194,,"ny"
1560,"Langadalsá / Hvannadalsá",-22.347893613717,65.8993382754938,137,6.068276697680108,431.93568406448793,10,""
1568,"Langá",-22.0132260301242,64.5722630590811,-520,7.929478698165866,2777.978261822733,15,""
1579,"Laugardalsá í Ísafjarðardjúpi",-22.6445070342208,66.0079913313169,122,5.971089342811566,391.9323870159579,10,""
1593,"Laxá á Refasveit",-20.2625811861789,65.7254858982825,458,6.623213647874554,752.3590332721534,10,""
1592,"Laxá á Skaga",-19.84952,65.89603,,4.497279038843555,89.77253110756118,,"ny"
1585,"Laxá á Skógarströnd",-22.12327272,65.02679273,-292,5.90580198037366,367.16156411329166,5,""
1599,"Laxá á Ásum",-20.3357643105902,65.614369,450,7.575847054330402,1950.5117525462956,15,""
1591,"Laxá í Aðaldal",-17.4190358119556,65.9901686913489,790,7.0930925049449405,1203.624265048134,15,""
1600,"Laxá í Dölum",-21.77232,65.09869,,7.538524226652364,1879.0549187844492,15,""
1584,"Laxá í Hrútafirði",-21.1508454275531,65.261767611387,380,4.610686944027373,100.55320033709557,5,""
1601,"Laxá í Hvammssveit",-21.7794529784044,65.2062326216077,-265,4.871473277408828,130.51305726249635,5,""
1590,"Laxá í Kjós",-21.61263,64.3421,,7.489909812042817,1789.8906579820596,15,""
1589,"Laxá í Leirársveit",-21.85966847,64.38800729,-554,7.323631006979922,1515.6974984033452,15,""
1615,"Leirvogsá",-21.71058002,64.18258,-553,6.5282294104095495,684.1857262768389,15,""
1733,"Miðfjarðará",-20.9095441784382,65.3458294679127,410,8.54897385391348,5161.455301643989,15,""
1734,"Miðjarðará við Bakkafj.",-15.0974429503912,66.0422430792035,950,5.519377255907142,249.47962684037455,10,""
1717,"Miðá og Tunguá",-21.7671220468492,65.024187042564,-281,6.36702344427394,582.3219329934483,10,""
1885,"Ormarsá",-15.904984401712,66.4074995970125,825,6.155776209356672,471.4326308974015,10,""
1910,"Prestbakkaá",-21.1954041449897,65.3142805504658,350,4.950180084139153,141.20038958263504,5,""
1040,"Rangárnar",-20.5567,63.68826,,9.36754199120992,11702.315313020084,20,""
2007,"Sandá",-15.5721037809815,66.2165074578297,850,6.173166954282719,479.70290016689074,10,""
2080,"Selá í Vopnafirði",-14.8028438459259,65.8259886507293,1000,7.3738666162147215,1593.7844370191458,15,""
2164,"Skaftá",-17.79423,63.65937,,4.8392734704767975,126.37750138233748,,"ny"
2223,"Skjálfandafljót",-17.632359123295,65.9867698851378,788,6.662715658199894,782.6735274901371,15,""
2239,"Skógá",-19.56521,63.49429,,4.3806780052942,79.89218236897948,,"ny"
2282,"Staðará í Steingrímsfirði",-21.78297,65.76625,,5.244789468785378,189.57589938354116,,"ny"
2281,"Staðará í Súgandafirði",-23.56913,66.12337,,5.221750170942181,185.25813390696422,,"ny"
2385,"Straumfjarðará",-22.7011689472606,64.8088874883025,-454,6.7473570690433196,851.8045243938889,10,""
2424,"Svalbarðsá",-15.6937917037814,66.2229660607333,850,6.284293018979967,536.0851546028744,10,""
2452,"Svínafossá",-22.21443,65.03016,,4.912404938422452,135.96601141320536,,"ny"
110,"Vatnas. Baugstaðaós",-20.9488566147356,63.819337787867,-722,3.947482839039428,51.804801552816706,5,""
2645,"Vatnsdalsá",-20.3836423710055,65.5884267956652,450,7.238488049377427,1391.9877622622164,15,""
2643,"Vatnsdalsá í Vatnsfirði",-23.13391,65.58523,,4.3502177101594,77.49533261005867,,"ny"
2670,"Vesturdalsá",-14.9041958053037,65.7520259848827,1004,4.7089072912505205,110.93087851360839,10,""
2711,"Víkurá",-21.2667282554976,65.4569882820551,330,5.312600556981205,202.87713651758594,5,""
140,"Víðidalsá og Fitjá",-20.5406041846245,65.5018010396744,440,7.459205220005369,1735.767955336544,15,""
2691,"Víðidalsá í Steingrímsf.",-21.674848488264,65.6833869412989,340,5.93641180135231,378.57409047828605,5,""
69,"Álftá",-22.2348524160377,64.5836069338224,-495,6.15940219802018,473.1451431713762,10,""
1268,"Ísafjarðará",-22.5828943609327,65.7813176916911,154,4.149420178214123,63.397230543767584,5,""
2959,"Ölfusá",-21.2081102556562,63.9007233616175,-722,8.933262985442909,7579.958361707568,15,""
2599,"Úlfarsá (Korpa)",-21.74713512,64.16508178,-553,6.113577789905864,451.9528182159762,10,""
2791,"Þjórsá",-20.74636,63.80059,,9.013037029216974,8209.41568857972,15,""
2799,"Þorskafjarðará",-22.09426,65.60481,,4.088221335661796,59.63372893116051,,"ny"
